"","PERMCO","GVKEY","SECID","start_date","end_date"
"1","10000","014918","108267",1988-11-03,2009-08-27
"2","10004","017225","111073",1988-11-07,2010-09-23
"3","10006","015025","6604",1988-11-08,1999-11-04
"4","10007","014953","101012",1990-08-20,1993-02-26
"5","10008","014957","103865",1988-11-08,1992-08-21
"6","10011","015160","105207",1988-11-10,2005-03-10
"7","10012","014215","110844",1988-11-11,1992-11-09
"8","10013","017025","6833",1988-11-14,1999-07-30
"9","10015","014942","6585",1990-07-10,1996-10-21
"10","10017","015067","6619",1992-12-15,1995-06-21
"11","10020","014983","102910",1991-11-01,2015-08-09
"12","10020","014983","207968",2015-08-10,2015-12-31
"13","10022","014985","111634",1995-05-15,2006-05-25
"14","10028","014986","6591",1992-09-25,1999-04-27
"15","10029","014990","106751",1988-12-06,2001-04-17
"16","1003","003399","103350",1995-08-21,2011-02-01
"17","10030","015028","108503",1989-03-08,1992-05-11
"18","10035","020027","6984",1988-12-09,1998-05-29
"19","10039","016967","105732",1988-12-13,2015-12-31
"20","10040","015066","6618",1992-10-06,1998-03-11
"21","10042","015027","111084",1988-12-14,2015-12-31
"22","10043","016752","104551",1988-12-14,2007-07-13
"23","10045","009473","109964",1988-12-15,2006-02-27
"24","10046","015195","6640",1988-12-15,1996-04-02
"25","10053","015261","103923",1988-12-19,2015-02-27
"26","10054","015243","6647",1989-01-05,1998-01-09
"27","10058","015306","107186",1988-12-23,2002-09-30
"28","10059","015087","106943",1988-12-29,2015-12-31
"29","10062","020237","102620",1993-10-06,2010-04-26
"30","10065","015092","102509",1989-01-03,2014-02-13
"31","10066","007321","107515",1969-12-09,1989-01-04
"32","10068","015476","6691",1994-04-18,1998-01-21
"33","10070","015240","6646",1990-08-01,2015-12-31
"34","10071","019078","6946",1989-01-06,2000-03-28
"35","10073","015135","105292",1989-01-10,2001-12-18
"36","10075","015333","6663",1990-05-09,1992-11-18
"37","10085","017361","6884",1989-01-19,1997-07-31
"38","10086","015203","108022",1989-01-19,2004-11-23
"39","10087","015293","104563",1989-01-19,2012-10-11
"40","10089","015162","110557",1989-01-23,1992-02-06
"41","10090","015126","6630",1993-04-21,1999-11-05
"42","10097","013483","104152",1987-06-18,2000-09-08
"43","10101","015176","6635",1989-02-03,1997-12-01
"44","10104","015331","101907",1989-02-07,2015-01-30
"45","10107","015414","110838",1989-02-09,2015-12-31
"46","10108","015446","104288",1992-01-27,2009-06-08
"47","10109","015185","106750",1989-02-13,1997-07-29
"48","10110","015252","129575",2007-05-18,2015-12-31
"49","10110","015252","6651",1989-02-14,1998-01-16
"50","10113","015220","111679",1989-10-30,1995-03-08
"51","10114","015200","6641",1989-10-30,1998-01-14
"52","10115","015410","104388",1989-02-23,1992-08-26
"53","10118","015428","104007",1989-02-27,1998-07-28
"54","10119","015206","6643",1992-05-26,1995-12-06
"55","10120","017366","111040",1989-02-27,2003-03-25
"56","10123","018553","6920",1989-03-03,1998-06-30
"57","10126","015222","101539",1989-03-02,2002-04-26
"58","10127","018549","105202",1991-07-11,2015-12-31
"59","10133","015359","100970",1989-03-14,2007-09-14
"60","10134","015290","101668",1989-03-14,2007-07-31
"61","10137","015228","6644",1993-01-19,1994-12-21
"62","10140","015244","6648",1989-03-21,1997-06-20
"63","10141","015351","6668",1995-08-01,1998-03-03
"64","10142","015242","108668",1995-07-19,2007-06-22
"65","10144","015347","109174",1989-03-28,2012-10-31
"66","10145","015411","104487",1989-03-28,1998-10-22
"67","10146","015253","110427",1989-07-18,2011-06-21
"68","10147","015291","102099",1989-03-29,2015-12-31
"69","10149","015302","101381",1993-01-04,2001-02-09
"70","10153","015802","6708",1989-04-10,1999-09-30
"71","10154","015454","6681",1989-04-05,1996-03-14
"72","10155","015283","104405",1989-04-06,1992-05-21
"73","10156","015853","105825",1989-04-06,2001-08-09
"74","10157","015474","104694",1992-06-30,2009-08-14
"75","10164","015443","110098",1989-04-19,2001-09-21
"76","10165","015358","6670",1997-02-03,1998-06-08
"77","10169","015299","104647",1989-04-28,1998-02-25
"78","10170","016438","6732",1994-01-26,1997-10-22
"79","10171","015521","110464",1989-04-28,2015-12-31
"80","10173","016861","6800",1989-05-02,1999-08-06
"81","10177","015334","101180",1989-05-08,2007-08-24
"82","10178","015494","6693",1989-05-09,1998-12-10
"83","10179","015418","110943",1989-05-09,1991-11-26
"84","10182","019807","111453",1993-09-27,2012-10-26
"85","10184","016466","6736",1989-05-10,1992-04-21
"86","10185","015458","6683",1989-05-11,1997-08-05
"87","10186","015851","6710",1989-05-11,1997-03-03
"88","10189","015469","6686",1994-05-11,1998-04-24
"89","1019","003134","104596",1977-08-17,1992-06-08
"90","10190","015470","110630",1989-05-22,2002-02-13
"91","10192","015707","6701",1989-05-16,1992-11-09
"92","10193","016872","104935",1989-05-18,2006-05-09
"93","10194","015944","6714",1989-05-18,1994-06-21
"94","10195","016628","6717",1991-07-01,1996-06-06
"95","10196","015329","6662",1994-11-18,1996-04-01
"96","10197","015859","103372",1995-02-01,2009-11-06
"97","10198","016644","6754",1989-05-22,1998-01-05
"98","10199","019462","6961",1989-06-19,1998-07-31
"99","102","001456","5034",1972-12-14,1997-09-23
"100","10200","017231","6872",1989-05-25,1996-10-30
"101","10204","NA","102706",1990-10-01,1992-07-13
"102","10205","015402","100955",1989-05-30,1992-02-11
"103","10207","017861","103253",1990-02-01,2013-01-10
"104","1021","014171","6459",1983-08-01,1998-07-31
"105","10210","016401","103041",1989-06-09,2015-12-31
"106","10213","015409","106208",1989-06-12,1998-09-04
"107","10214","015415","103395",1991-04-30,2000-12-13
"108","10218","016845","104799",1989-06-20,2015-12-31
"109","10219","017164","6861",1989-07-03,2000-03-01
"110","10222","015854","109619",1989-06-22,2004-11-22
"111","10223","015800","104470",1989-06-22,1998-11-05
"112","10224","015855","110684",1989-06-23,2015-12-31
"113","10227","015852","6711",1989-06-26,1996-07-11
"114","10229","016469","6738",1989-06-28,2000-09-12
"115","10232","015822","108096",1989-06-29,2005-07-21
"116","10238","015824","105925",1993-03-23,2001-09-28
"117","10239","016280","6723",1989-07-07,1996-05-30
"118","10241","015444","102565",1989-07-10,2015-12-31
"119","10242","015848","101268",1989-07-11,2003-04-10
"120","10244","015472","6689",1989-07-13,1998-12-23
"121","10246","016440","6733",1989-07-13,1999-06-09
"122","10247","015442","106199",1991-01-11,2001-02-26
"123","10248","015466","6685",1989-07-14,1994-11-22
"124","10250","015798","6707",1989-07-14,1998-06-09
"125","10251","016437","101878",1989-07-14,2002-07-02
"126","10253","016480","103451",1995-01-12,2009-12-11
"127","10254","003827","5285",1994-06-02,1995-10-20
"128","10256","016188","103134",1989-07-20,2015-12-31
"129","10257","016475","6740",1989-07-20,1997-09-30
"130","10258","015475","6690",1989-07-21,1992-12-16
"131","10259","016454","106880",1989-07-21,2001-04-12
"132","10260","017273","6877",1989-07-24,1996-04-30
"133","10263","016439","105091",1989-07-27,2000-12-28
"134","10265","015490","111327",1997-12-24,2000-12-07
"135","10266","015424","104096",1989-07-28,2003-03-26
"136","10269","016932","107223",1992-10-30,2001-09-10
"137","10270","016405","110915",1994-06-20,2002-03-28
"138","10272","017117","6850",1989-08-04,1997-07-30
"139","10273","015858","6712",1995-08-01,1998-03-16
"140","10275","016284","101274",1989-08-08,1999-10-21
"141","10279","005327","105397",1989-08-11,2011-03-09
"142","10281","018284","6908",1989-08-15,1998-12-31
"143","10284","017002","6826",1989-08-22,1998-04-17
"144","10285","015860","6713",1989-08-22,1991-09-13
"145","10286","017126","110334",1989-08-23,2013-03-07
"146","10288","016453","107990",1989-08-23,2015-12-31
"147","10289","016452","6734",1989-08-24,1996-12-04
"148","10290","016273","6722",1989-08-25,1991-06-10
"149","10294","016490","103818",1993-07-14,1994-08-15
"150","10295","011352","111949",1989-09-01,1995-12-07
"151","10297","016419","6726",1989-09-06,1999-08-13
"152","1030","003156","103137",1972-12-14,2008-03-18
"153","10303","016721","104229",1989-09-20,2015-12-31
"154","10305","019311","108728",1992-09-01,2002-07-16
"155","10306","016810","6789",1989-09-21,1996-03-08
"156","10311","018484","107542",1995-04-10,2007-09-28
"157","10316","017232","110654",1989-09-29,2002-12-27
"158","10318","016441","104231",1990-06-25,2008-02-29
"159","10321","019069","108073",1989-10-03,2009-12-23
"160","10322","016462","6735",1995-10-02,1996-01-31
"161","10323","016710","103832",1989-10-05,2015-12-31
"162","10324","017814","6896",1989-10-09,1996-11-27
"163","10328","017137","6853",1989-10-13,1999-08-09
"164","1033","003157","103140",1972-12-14,2015-12-31
"165","10330","016470","106540",1994-08-30,1997-07-16
"166","10332","019096","6947",1994-09-01,1995-07-19
"167","10335","016729","104493",1989-10-19,2003-03-21
"168","10336","017560","6892",1989-10-19,2000-03-13
"169","10339","016795","108148",1995-10-12,2002-03-25
"170","10341","016488","112229",1989-10-23,2009-09-18
"171","10344","016558","6745",1989-10-24,1998-03-30
"172","10346","016634","6751",1989-10-26,1997-12-30
"173","10347","019911","112043",1989-10-27,2012-12-14
"174","10348","018563","103680",1989-10-30,1993-09-28
"175","10349","019692","111121",1991-12-03,1999-09-22
"176","1035","003138","103124",1982-11-01,2015-12-31
"177","10352","018545","111150",1989-11-02,2000-10-24
"178","10353","016827","104751",1989-11-02,2004-10-29
"179","10354","016961","6815",1989-11-02,1997-07-31
"180","10356","018482","6917",1992-02-18,1997-11-11
"181","10358","016531","112235",1989-11-09,2015-12-31
"182","10359","016597","106857",1989-11-09,2015-12-31
"183","10361","016545","6743",1989-11-20,1995-09-12
"184","10363","020036","101127",1989-11-09,2009-12-28
"185","10364","016600","6746",1989-11-09,2000-03-29
"186","10366","017055","101175",1989-11-13,1998-09-04
"187","10367","018735","6930",1984-01-11,1996-04-12
"188","10368","018074","6902",1996-08-01,1998-10-15
"189","10369","017105","108722",1989-11-14,2010-07-06
"190","10371","017110","110282",1989-11-15,2007-10-01
"191","10372","017197","101462",1992-11-13,2010-09-30
"192","10374","017108","109426",1989-11-24,1993-01-29
"193","10375","017107","109226",1989-11-16,1999-03-24
"194","1038","003178","103163",1983-04-12,2005-05-13
"195","10380","017101","106014",1989-11-17,2015-12-31
"196","10384","017202","105143",1989-11-21,2008-10-27
"197","10385","017213","112187",1989-11-21,1996-09-19
"198","10388","017762","102710",1989-11-22,2011-01-26
"199","10390","017199","103562",1989-11-22,2014-01-28
"200","10390","017199","203874",2014-01-29,2015-12-31
"201","10392","018062","101906",1989-11-28,2000-08-28
"202","10393","016601","6747",1989-11-28,2000-08-31
"203","10394","018100","106848",1989-11-30,2006-07-25
"204","10395","019950","104195",1989-12-01,2000-11-21
"205","10396","016683","6766",1989-12-01,2000-05-10
"206","10401","018696","6927",1989-12-05,1993-12-07
"207","10402","018701","6928",1989-12-06,1998-10-14
"208","10404","018693","6926",1991-07-15,2000-03-07
"209","10405","019398","104885",1993-06-17,1997-05-16
"210","10408","018699","108756",1989-12-08,2015-12-31
"211","10414","019399","103254",1989-12-11,2002-07-31
"212","10416","019431","107098",1994-01-31,2015-12-31
"213","10417","019439","106613",1999-12-28,2000-03-07
"214","10419","019402","105089",1989-12-14,2015-12-31
"215","10421","019428","105386",1989-12-14,2015-12-31
"216","10423","020097","102884",1989-12-18,2001-06-07
"217","10424","019941","111780",1989-12-19,1992-08-26
"218","10426","020976","106840",1990-03-19,1993-03-04
"219","10427","019076","6945",1995-12-01,1996-09-30
"220","10429","019508","110485",1989-12-19,2011-12-30
"221","10430","014268","106148",1989-12-19,2009-07-27
"222","10432","020039","6988",1989-12-20,1994-04-26
"223","10434","020151","6992",1995-07-18,1999-09-20
"224","10436","020021","101860",1989-12-21,2007-01-03
"225","10437","020031","6986",1989-12-21,1997-11-19
"226","10442","019798","111425",1990-06-22,1992-08-17
"227","10445","NA","108884",1989-12-28,1990-08-22
"228","10447","019842","6975",1990-01-02,1997-01-17
"229","10449","020047","102949",1992-09-30,2002-06-26
"230","10451","019552","109236",1990-01-09,2001-01-16
"231","10452","020076","6989",1993-07-23,1996-11-29
"232","10457","020075","107075",1990-01-12,2007-08-31
"233","10458","020221","7004",1993-10-18,2000-02-29
"234","10460","020205","7001",1992-09-28,1996-02-01
"235","10461","020054","109810",1993-06-02,1994-06-16
"236","10462","020217","109370",2000-06-26,2010-03-05
"237","10463","020210","102829",1995-06-23,1998-10-15
"238","10464","020208","7003",1990-01-18,1997-07-02
"239","10467","020204","102675",1993-02-24,2015-12-31
"240","10468","020191","103072",1990-01-23,2002-02-28
"241","10469","020192","6996",1990-01-23,1999-12-22
"242","10471","020199","6998",1992-06-15,1992-07-12
"243","10475","020202","111169",1995-06-01,2012-04-26
"244","10478","020296","105903",1992-05-12,2009-11-24
"245","10479","020294","7016",1993-03-05,1999-11-12
"246","10486","020779","103042",1990-02-16,2015-12-31
"247","10487","020887","7106",1991-08-26,1996-03-29
"248","10488","020888","7107",1990-02-20,1998-07-01
"249","1049","003216","5208",1981-07-16,2000-01-11
"250","10490","020889","111759",1990-06-25,2001-08-15
"251","10491","020789","7092",1993-12-30,1995-08-16
"252","10492","020194","105594",1990-02-21,2000-10-31
"253","10496","019818","107849",1990-02-26,1999-01-06
"254","10497","020900","101132",1990-02-26,2001-06-07
"255","10498","020903","7110",1990-02-27,1999-08-27
"256","10502","020901","102295",1994-06-28,1999-11-23
"257","10504","020904","105751",1990-03-01,2015-12-31
"258","10505","020982","7114",1990-03-06,2000-02-15
"259","10506","020991","7115",1993-12-29,1997-02-11
"260","10507","019953","106944",1991-02-01,2001-07-02
"261","10509","020969","7113",1990-03-07,1999-08-13
"262","10510","018560","105259",1994-10-31,2013-05-16
"263","10511","020158","107557",1990-03-07,2004-02-10
"264","10512","021777","107447",1990-05-10,2015-12-31
"265","10513","020983","106305",1990-03-08,2009-03-23
"266","10514","020993","111623",1992-05-28,2005-03-11
"267","10515","021078","7120",1990-03-13,1997-06-25
"268","10517","021061","103752",1990-03-13,2012-05-15
"269","10519","017780","111965",1995-03-31,2013-03-28
"270","10521","021066","105151",1992-03-12,2010-07-22
"271","10522","021081","7121",1990-03-14,1998-08-26
"272","10523","021063","7118",1994-01-27,1998-03-19
"273","10524","021060","7116",1990-03-16,1997-08-29
"274","10525","021062","7117",1990-03-16,1999-04-16
"275","10529","021107","7123",1990-03-20,1999-09-02
"276","10530","021159","110599",1990-03-21,2005-06-30
"277","10531","021153","110212",1990-03-21,1997-10-08
